                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.38849,                0.46589,                 0.8324,                0.99386,                0.98838,                0.99469,                0.95556,                0.16314,                 0.1154,                0.76339,              0.0094225,              0.0094225,              0.0094225
                     38,                0.38611,                0.45753,                0.83204,                0.99343,                0.99042,                0.99458,                0.95553,                0.16266,                0.11855,                0.76253,               0.009406,               0.009406,               0.009406
                     39,                0.38576,                0.45382,                0.83056,                0.99322,                0.98955,                0.99445,                0.95612,                0.15965,                0.11679,                0.76186,              0.0093895,              0.0093895,              0.0093895
                     40,                0.38441,                0.44467,                 0.8295,                0.99284,                0.99178,                0.99476,                0.95698,                0.16045,                0.11348,                0.76188,               0.009373,               0.009373,               0.009373
                     41,                0.38134,                0.44093,                 0.8289,                0.99426,                0.99257,                0.99462,                0.95665,                0.15861,                0.11086,                0.76143,              0.0093565,              0.0093565,              0.0093565
                     42,                0.37892,                0.43321,                0.82864,                0.99398,                0.99265,                0.99472,                0.95758,                0.15745,                 0.1092,                  0.761,                0.00934,                0.00934,                0.00934
                     43,                0.37779,                0.43131,                 0.8281,                  0.995,                0.99213,                 0.9948,                0.95783,                0.15636,                 0.1082,                0.76028,              0.0093235,              0.0093235,              0.0093235
                     44,                 0.3773,                0.42775,                 0.8274,                0.99426,                0.99422,                0.99488,                0.95905,                0.15545,                0.10487,                0.76006,               0.009307,               0.009307,               0.009307
                     45,                0.37552,                0.42524,                 0.8274,                 0.9956,                0.99383,                0.99492,                0.95947,                0.15457,                0.10399,                0.75967,              0.0092905,              0.0092905,              0.0092905
                     46,                0.37524,                0.42066,                0.82773,                0.99563,                0.99349,                0.99481,                0.95958,                0.15469,                0.10246,                0.76014,               0.009274,               0.009274,               0.009274
                     47,                0.37112,                0.41668,                0.82652,                0.99409,                0.99459,                0.99488,                0.95964,                0.15308,                0.10143,                0.75932,              0.0092575,              0.0092575,              0.0092575
                     48,                0.37123,                0.41275,                0.82531,                0.99422,                0.99371,                0.99488,                 0.9601,                0.15286,                0.10126,                0.75878,               0.009241,               0.009241,               0.009241
                     49,                0.36278,                0.39129,                0.82337,                0.99387,                 0.9944,                0.99485,                0.96105,                0.15215,                0.10052,                0.75853,              0.0092245,              0.0092245,              0.0092245
                     50,                0.36375,                0.40108,                0.82439,                0.99623,                 0.9927,                0.99487,                0.96109,                0.15152,                0.10087,                0.75881,               0.009208,               0.009208,               0.009208
                     51,                0.36295,                0.39603,                0.82319,                0.99544,                0.99359,                0.99486,                0.96126,                0.15057,                0.09887,                0.75861,              0.0091915,              0.0091915,              0.0091915
                     52,                0.36443,                0.39665,                0.82323,                0.99532,                0.99309,                0.99474,                0.96134,                 0.1501,                0.09761,                0.75834,               0.009175,               0.009175,               0.009175
                     53,                0.36351,                0.39152,                 0.8231,                0.99604,                0.99327,                0.99482,                0.96119,                 0.1503,                0.09782,                0.75856,              0.0091585,              0.0091585,              0.0091585
                     54,                0.36183,                0.39209,                 0.8232,                0.99604,                0.99306,                0.99487,                0.96182,                0.15033,                0.09696,                0.75842,               0.009142,               0.009142,               0.009142
                     55,                0.36077,                0.38615,                0.82253,                0.99472,                0.99495,                0.99491,                0.96164,                0.15012,                0.09606,                0.75834,              0.0091255,              0.0091255,              0.0091255
                     56,                 0.3587,                0.38455,                0.82181,                0.99613,                0.99438,                0.99491,                0.96198,                 0.1494,                0.09501,                0.75796,               0.009109,               0.009109,               0.009109
