                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.38575,                0.42624,                0.83074,                0.99039,                0.98679,                 0.9939,                0.95311,                0.16273,                0.12299,                0.76126,               0.008845,               0.008845,               0.008845
                     38,                0.38078,                0.42182,                0.83015,                0.98999,                0.98695,                0.99423,                0.95374,                0.16194,                0.12102,                 0.7608,               0.008812,               0.008812,               0.008812
                     39,                0.37985,                0.41907,                0.82971,                0.98955,                0.98774,                0.99402,                0.95328,                0.16142,                0.12038,                0.76056,               0.008779,               0.008779,               0.008779
                     40,                0.37971,                0.41641,                0.83048,                0.99142,                0.98885,                0.99422,                0.95481,                 0.1591,                  0.116,                0.76019,               0.008746,               0.008746,               0.008746
                     41,                0.37972,                0.41117,                0.82929,                0.98892,                 0.9891,                0.99423,                 0.9545,                0.15944,                 0.1157,                 0.7605,               0.008713,               0.008713,               0.008713
                     42,                0.37528,                0.40533,                0.82865,                0.99102,                0.98823,                0.99423,                0.95544,                0.15888,                0.11478,                0.75924,                0.00868,                0.00868,                0.00868
                     43,                0.37561,                0.40522,                0.82738,                0.99382,                 0.9878,                0.99435,                0.95535,                0.15723,                0.11077,                0.75938,               0.008647,               0.008647,               0.008647
                     44,                0.37462,                0.40359,                0.82853,                0.99082,                 0.9895,                0.99397,                0.95559,                0.15746,                0.11304,                0.75925,               0.008614,               0.008614,               0.008614
                     45,                0.37444,                0.39999,                0.82727,                0.99147,                0.99003,                0.99436,                 0.9564,                0.15742,                0.11195,                0.75887,               0.008581,               0.008581,               0.008581
                     46,                  0.371,                0.39189,                0.82696,                0.99293,                0.99026,                0.99447,                0.95614,                0.15651,                0.11121,                 0.7586,               0.008548,               0.008548,               0.008548
                     47,                0.37042,                 0.3916,                0.82644,                0.99373,                0.98986,                0.99456,                0.95587,                0.15672,                0.10892,                0.75889,               0.008515,               0.008515,               0.008515
                     48,                0.36971,                0.38968,                 0.8255,                0.99295,                0.98953,                0.99441,                0.95624,                0.15679,                 0.1099,                0.75907,               0.008482,               0.008482,               0.008482
                     49,                0.37206,                0.39298,                0.82639,                0.99289,                0.98983,                0.99424,                0.95681,                0.15599,                0.10852,                0.75815,               0.008449,               0.008449,               0.008449
                     50,                0.37143,                0.39347,                0.82639,                0.99143,                0.99169,                0.99432,                0.95712,                0.15566,                0.11023,                0.75791,               0.008416,               0.008416,               0.008416
                     51,                 0.3566,                0.35562,                0.82155,                0.99243,                0.99153,                0.99417,                0.95812,                0.15322,                0.10744,                0.75744,               0.008383,               0.008383,               0.008383
                     52,                0.36549,                0.37642,                0.82417,                0.99214,                0.99115,                0.99428,                0.95814,                0.15328,                 0.1065,                 0.7573,                0.00835,                0.00835,                0.00835
                     53,                0.36171,                0.37642,                0.82397,                0.99309,                0.99012,                0.99414,                0.95785,                0.15339,                0.10662,                0.75763,               0.008317,               0.008317,               0.008317
                     54,                0.36088,                0.37345,                0.82453,                0.99441,                0.98817,                0.99437,                0.95778,                0.15278,                0.10566,                0.75717,               0.008284,               0.008284,               0.008284
                     55,                0.36156,                0.37402,                0.82443,                0.99421,                0.99087,                0.99415,                 0.9579,                0.15265,                0.10571,                0.75797,               0.008251,               0.008251,               0.008251
                     56,                0.36101,                0.36915,                0.82327,                0.99104,                0.99227,                0.99417,                0.95845,                0.15165,                0.10649,                0.75724,               0.008218,               0.008218,               0.008218
                     57,                0.35786,                0.36681,                0.82387,                0.99166,                0.99062,                 0.9942,                0.95837,                0.15183,                 0.1054,                0.75751,               0.008185,               0.008185,               0.008185
                     58,                0.35951,                 0.3672,                0.82311,                0.99238,                0.99068,                0.99427,                0.95821,                0.15145,                0.10342,                0.75738,               0.008152,               0.008152,               0.008152
                     59,                0.35974,                0.36589,                0.82464,                0.99297,                0.99111,                0.99435,                0.95893,                 0.1511,                0.10235,                0.75706,               0.008119,               0.008119,               0.008119
                     60,                0.35894,                0.36282,                0.82192,                 0.9941,                0.98982,                0.99432,                0.95959,                0.15066,                0.10209,                0.75694,               0.008086,               0.008086,               0.008086
                     61,                 0.3552,                0.35643,                0.82173,                0.99407,                0.99003,                0.99435,                0.95944,                0.15029,                0.10145,                0.75687,               0.008053,               0.008053,               0.008053
                     62,                0.35535,                0.35679,                0.82114,                0.99367,                0.99134,                0.99448,                0.95973,                0.14998,                0.10073,                0.75683,                0.00802,                0.00802,                0.00802
                     63,                0.35577,                0.35686,                0.82067,                 0.9937,                0.99151,                 0.9945,                0.95957,                0.15009,                0.10067,                0.75648,               0.007987,               0.007987,               0.007987
                     64,                0.35773,                0.36088,                0.82136,                0.99375,                0.99243,                0.99457,                0.95996,                0.14975,                0.10122,                0.75636,               0.007954,               0.007954,               0.007954
                     65,                0.35784,                0.36466,                0.82235,                0.99271,                0.99178,                0.99467,                0.96013,                0.14924,                0.10096,                 0.7562,               0.007921,               0.007921,               0.007921
                     66,                0.36139,                0.36736,                0.82305,                0.99164,                0.99326,                0.99464,                0.96013,                 0.1495,                0.09894,                0.75642,               0.007888,               0.007888,               0.007888
                     67,                0.33972,                0.32062,                0.81676,                0.99309,                0.99278,                0.99467,                0.96047,                0.14838,                0.09824,                0.75624,               0.007855,               0.007855,               0.007855
